"","uniprot_id","genesymbol"
"437","Q61425","Hadh"
"438","P80316","Cct5"
"439","Q9Z2I9","Sucla2"
"440","Q9QXT0","Cnpy2"
"441","P63158","Hmgb1"
"442","Q9DCP2","Slc38a3"
"443","Q9D8V0","Hm13"
"444","Q9CQ60","Pgls"
"445","Q9DC50","Crot"
"446","Q99MN1","Kars1"
"447","P09405","Ncl"
"448","O70475","Ugdh"
"449","Q9JJL3","Slco1b2"
"450","Q9JHW2","Nit2"
"451","Q64464","Cyp3a13"
"452","P68037","Ube2l3"
"453","P63028","Tpt1"
"454","Q99JB2","Stoml2"
"455","P11714","Cyp2d9"
"456","Q78IK2","Atp5mk"
"457","Q8BWF0","Aldh5a1"
"458","A3KMP2","Ttc38"
"459","P24815","Hsd3b1"
"460","P97461","Rps5"
"461","P99024","Tubb5"
"462","O88451","Rdh7"
"463","Q62433","Ndrg1"
"464","Q02053","Uba1"
"465","Q9CR68","Uqcrfs1"
"466","Q9DCJ5","Ndufa8"
"467","Q9CXW4","Rpl11"
"468","O35660","Gstm6"
"469","O54754","Aox1"
"470","Q91YT0","Ndufv1"
"471","P00920","Ca2"
"472","Q04857","Col6a1"
"473","O35945","Aldh1a7"
"474","P62192","Psmc1"
"475","Q64435","Ugt1a6"
"476","P41105","Rpl28"
"477","Q9D855","Uqcrb"
"478","Q9ERS2","Ndufa13"
"479","Q91X72","Hpx"
"480","Q91WS0","Cisd1"
"481","P07759","Serpina3k"
"482","Q8VCB3","Gys2"
"483","Q9QZQ8","Macroh2a1"
"484","Q01405","Sec23a"
"485","F8VPN4",NA
"486","Q9D8E6","Rpl4"
"487","P61982","Ywhag"
"488","P97501","Fmo3"
"489","Q7TMF3","Ndufa12"
"490","Q91WT7",NA
"491","Q8C5H8","Nadk2"
"492","P62267","Rps23"
"493","P18760","Cfl1"
"494","Q91ZU1","Asb6"
"495","Q3UZZ6","Sult1d1"
"496","P47963","Rpl13"
"497","Q99LY9","Ndufs5"
"498","D3Z2H9",NA
