"","uniprot_id","genesymbol"
"1728","P14901","Hmox1"
"1729","G5E829","Atp2b1"
"1730","A6H584","Col6a5"
"1731","P70372","Elavl1"
"1732","P09528","Fth1"
"1733","Q3UED7",NA
"1734","Q9WTX2","Prkra"
"1735","Q9JLQ2","Git2"
"1736","P23589","Ca5a"
"1737","Q9DBC7","Prkar1a"
"1738","Q3UPC7",NA
"1739","P08775","Polr2a"
"1740","Q9DB05","Napa"
"1741","Q78PG9","Ccdc25"
"1742","Q9JKL4","Ndufaf3"
"1743","O70310","Nmt1"
"1744","Q62465","Vat1"
"1745","P35601","Rfc1"
"1746","Q9JHJ0","Tmod3"
"1747","Q9JKF7","Mrpl39"
"1748","O70566","Diaph2"
"1749","O09159","Man2b1"
"1750","Q8K0Z7","Taco1"
"1751","Q02013","Aqp1"
"1752","P58389","Ptpa"
"1753","Q8VDG7","Pafah2"
"1754","O70492","Snx3"
"1755","Q61035","Hars1"
"1756","P29351","Ptpn6"
"1757","Q61508","Ecm1"
"1758","Q8BVE3","Atp6v1h"
"1759","P61924","Copz1"
"1760","Q8BRK8","Prkaa2"
"1761","Q9DBZ5","Eif3k"
"1762","O08553","Dpysl2"
"1763","P06802","Enpp1"
"1764","P62315","Snrpd1"
"1765","Q9D1N9","Mrpl21"
"1766","Q8BFP9","Pdk1"
"1767","Q6ZQ58","Larp1"
"1768","Q9Z1J3","Nfs1"
"1769","Q91V04","Tram1"
"1770","Q5SGK3","Aox2"
"1771","Q61285","Abcd2"
"1772","Q9CQF3","Nudt21"
"1773","Q9DBG5","Plin3"
"1774","Q07813","Bax"
"1775","P35762","Cd81"
"1776","P70295","Aup1"
"1777","Q9CXD6","Mcur1"
"1778","Q9EPE9","Atp13a1"
"1779","P27786","Cyp17a1"
"1780","Q8BXA1","Golim4"
"1781","Q9ESP1","Sdf2l1"
"1782","Q07797","Lgals3bp"
"1783","P06909","Cfh"
"1784","Q9Z0W3","Nup160"
"1785","Q9D8U8","Snx5"
"1786","O70194","Eif3d"
"1787","Q8BTZ7","Gmppb"
"1788","P70362","Ufd1"
"1789","Q62167","Ddx3x"
"1790","P08752","Gnai2"
"1791","Q99L43","Cds2"
"1792","Q9CQ40","Mrpl49"
"1793","Q9DCC4","Pycr3"
"1794","Q9DAU1","Cnpy3"
"1795","Q8BWM0","Ptges2"
"1796","Q8BUV3","Gphn"
"1797","Q7TMB8","Cyfip1"
"1798","Q9JMA1","Usp14"
"1799","Q9JKC8","Ap3m1"
"1800","O08808","Diaph1"
"1801","Q8VCH7","Rdh10"
"1802","Q8R1K1","Ubac2"
"1803","Q921M7","Cyrib"
"1804","P47809","Map2k4"
"1805","Q99P27","Pla2g12b"
"1806","P82198","Tgfbi"
"1807","Q8BX70","Vps13c"
"1808","Q6ZWQ7","Spcs3"
"1809","P84091","Ap2m1"
"1810","P53996","Cnbp"
"1811","Q8R307","Vps18"
"1812","Q6NSR8","Npepl1"
"1813","Q64339","Isg15"
"1814","O70404","Vamp8"
"1815","Q14C51","Ptcd3"
"1816","Q99N85","Mrps18a"
"1817","P14733","Lmnb1"
"1818","P10852","Slc3a2"
"1819","Q9D6S7","Mrrf"
"1820","Q9QYR7","Acot3"
"1821","Q8BFY6","Pef1"
"1822","P60334","Cdo1"
"1823","Q3THG9","Aarsd1"
"1824","Q64511","Top2b"
"1825","P08207","S100a10"
"1826","A2AS89","Agmat"
"1827","Q91XT4","Sec16b"
"1828","B2RXS4","Plxnb2"
"1829","P22437","Ptgs1"
"1830","P53810","Pitpna"
"1831","Q9WTX6","Cul1"
"1832","Q9QXZ0","Macf1"
"1833","G5E870","Trip12"
"1834","Q63918","Cavin2"
"1835","Q9D125","Mrps25"
"1836","Q9CSU0","Rprd1b"
"1837","Q8K440","Abca8b"
"1838","P28658","Atxn10"
"1839","Q91YP2","Nln"
"1840","Q8BKX1","Baiap2"
"1841","Q9R0M6","Rab9a"
"1842","Q8N7N5","Dcaf8"
"1843","Q8R317","Ubqln1"
"1844","P13504","Il1r1"
"1845","Q91WS4","Bhmt2"
"1846","Q4PJX1","Odr4"
"1847","Q9CX86","Hnrnpa0"
"1848","Q9CXI0","Coq5"
"1849","P28063","Psmb8"
"1850","B1AZI6","Thoc2"
"1851","Q6IRU5","Cltb"
"1852","Q9R269","Ppl"
"1853","Q8BVY0","Rsl1d1"
"1854","Q4VAA2","Cdv3"
"1855","P50518","Atp6v1e1"
"1856","O09012","Pex5"
"1857","Q99K01","Pdxdc1"
"1858","Q9EQ32","Pik3ap1"
"1859","G5E8V9","Arfip1"
"1860","O08529","Capn2"
"1861","P52479","Usp10"
"1862","Q9Z1R2","Bag6"
"1863","O35728","Cyp4a14"
"1864","Q9D1R9","Rpl34"
"1865","Q61166","Mapre1"
"1866","Q62393","Tpd52"
"1867","Q91VW5","Golga4"
"1868","O70400","Pdlim1"
"1869","Q61823","Pdcd4"
"1870","Q5SUF2","Luc7l3"
"1871","Q9D6Z1","Nop56"
"1872","Q9ERR7","Selenof"
"1873","Q9D2V7","Coro7"
"1874","P54823","Ddx6"
"1875","Q9JJ28","Flii"
"1876","Q9WUL7","Arl3"
"1877","P27601","Gna13"
"1878","Q3V0K9","Pls1"
"1879","Q3UKJ7","Smu1"
"1880","Q9DCH4","Eif3f"
"1881","Q569Z6","Thrap3"
"1882","Q91Z40","Gbp7"
"1883","Q64520","Guk1"
"1884","O35345","Kpna6"
"1885","P51885","Lum"
"1886","Q9CXT8","Pmpcb"
"1887","Q91YN5","Uap1"
"1888","Q497J1","Tmem86b"
"1889","Q9R233","Tapbp"
"1890","Q6NV83","U2surp"
"1891","Q80UG1","Fads6"
"1892","Q6PEB6","Mob4"
"1893","Q8R081","Hnrnpl"
"1894","Q8BS35","Agmo"
"1895","Q64481","Cyp3a16"
"1896","Q99N19",NA
"1897","Q60634","Flot2"
"1898","Q91YH6","Atp6v1b1"
"1899","Q99N18",NA
"1900","Q8BH04","Pck2"
"1901","P01837","Igkc"
"1902","Q8CG72","Adprs"
"1903","P16125","Ldhb"
"1904","Q9D710","Tmx2"
"1905","P46460","Nsf"
"1906","Q8C1B7","Septin11"
"1907","Q80WQ2","Vac14"
"1908","O88968","Tcn2"
"1909","Q8BHD7","Ptbp3"
"1910","Q60676","Ppp5c"
"1911","Q9QYY9","Adh4"
"1912","Q9D8S9","Bola1"
"1913","O08759","Ube3a"
"1914","P11862","Gas2"
"1915","E9Q7G0","Numa1"
"1916","Q9CQU0","Txndc12"
"1917","Q9D0Q7","Mrpl45"
"1918","Q8BI72","Cdkn2aip"
"1919","P39039","Mbl1"
"1920","Q80X81",NA
"1921","P40630","Tfam"
"1922","P11859","Agt"
"1923","Q9WVB0","Rbpms"
"1924","Q9D8C4","Ifi35"
"1925","Q3UDE2","Ttll12"
"1926","Q8BFY9","Tnpo1"
"1927","Q9DCT1","Akr1e2"
"1928","Q9Z2A7","Dgat1"
"1929","Q8CGF5","Tlcd4"
"1930","P22907","Hmbs"
"1931","E9QA15",NA
"1932","Q924L1","Letmd1"
"1933","Q9JLZ3","Auh"
"1934","Q31125","Slc39a7"
"1935","Q8BGS1","Epb41l5"
"1936","Q8VHH5","Agap3"
"1937","P39054","Dnm2"
"1938","Q3KNM2","Marchf5"
"1939","O54950","Prkag1"
"1940","Q9CQJ6","Denr"
"1941","P13634","Ca1"
"1942","O35344","Kpna3"
"1943","O70589","Cask"
"1944","Q9R190","Mta2"
"1945","Q78KK3","Slc22a18"
"1946","E9Q5C9","Nolc1"
"1947","Q8R5I6","Gstm4"
"1948","Q9EPK7","Xpo7"
"1949","P34928","Apoc1"
"1950","Q9JLV5","Cul3"
"1951","Q9CQG1","Chac2"
"1952","Q8R519","Acmsd"
"1953","Q9Z210","Pex11b"
"1954","P01872","Ighm"
"1955","Q62418","Dbnl"
"1956","Q9CQF4","Mtres1"
"1957","Q9D7S9","Chmp5"
"1958","Q8BJ71","Nup93"
"1959","Q8VE38","Oxnad1"
"1960","P43883","Plin2"
"1961","P08122","Col4a2"
"1962","Q08857","Cd36"
"1963","Q9CR09","Ufc1"
"1964","Q8CJF7","Ahctf1"
"1965","Q8BHA3","Dtd2"
"1966","Q8VCI0","Plbd1"
"1967","O08715","Akap1"
"1968","Q9D7J4","Cox20"
"1969","Q9CR00","Psmd9"
"1970","P03921","Mtnd5"
"1971","Q505F5","Lrrc47"
"1972","Q9JLV1","Bag3"
"1973","Q3ULW8","Parp3"
"1974","A2AN08","Ubr4"
"1975","Q9D554","Sf3a3"
"1976","O35682","Myadm"
"1977","Q9D8W7","Ociad2"
"1978","Q9Z0G9","Cldn3"
"1979","Q91V12","Acot7"
"1980","Q61646","Hp"
"1981","Q80X19","Col14a1"
"1982","E9Q3L2","Pi4ka"
"1983","E9Q6R7",NA
"1984","Q6NZC7","Sec23ip"
"1985","Q9D2R6","Coa3"
"1986","K7N6K9",NA
"1987","P17095","Hmga1"
"1988","Q6ZQ08","Cnot1"
"1989","Q8BTJ4","Enpp4"
"1990","Q8CAS9","Parp9"
"1991","Q99LD4","Gps1"
"1992","Q8CHW4","Eif2b5"
"1993","Q3UHX2","Pdap1"
"1994","Q8R2U6","Nudt4"
"1995","Q9CQ48","Nudcd2"
"1996","Q59J78","Ndufaf2"
"1997","Q9CXJ1","Ears2"
"1998","Q6WVG3","Kctd12"
"1999","P49962","Srp9"
"2000","Q61490","Alcam"
"2001","Q03160","Grb7"
"2002","Q3U0B3","Dhrs11"
"2003","Q8CHK3","Mboat7"
"2004","Q91YE6","Ipo9"
"2005","Q8K1X1","Wdr11"
"2006","E9Q616",NA
"2007","O08663","Metap2"
"2008","P28650","Adss1"
"2009","P49443","Ppm1a"
"2010","Q9DB30","Phkg2"
"2011","Q8K2I3","Fmo2"
"2012","B2RY56","Rbm25"
"2013","Q8C7E7","Stbd1"
"2014","Q8C0E2","Vps26b"
"2015","Q6ZWM4","Lsm8"
"2016","P03958","Ada"
"2017","Q9JMH9","Myo18a"
"2018","O89079","Cope"
"2019","Q8CHP8","Pgp"
"2020","O35166","Gosr2"
"2021","Q3UP75","Ugt3a1"
"2022","Q9JIG7","Ccdc22"
"2023","Q8C2E7","Washc5"
"2024","O54984","Get3"
"2025","Q91W89","Man2c1"
"2026","P61082","Ube2m"
"2027","Q9JHL1","Slc9a3r2"
"2028","O08915","Aip"
"2029","O54865","Gucy1b1"
"2030","O89110","Casp8"
"2031","Q9Z1X4","Ilf3"
"2032","Q00612","G6pdx"
"2033","P62137","Ppp1ca"
"2034","Q9QXK3","Copg2"
"2035","F8VPU2","Farp1"
"2036","Q62426","Cstb"
"2037","Q8K268","Abcf3"
"2038","O88545","Cops6"
"2039","Q9JHK4","Rabggta"
"2040","P27612","Plaa"
"2041","Q9DCC7","Isoc2b"
"2042","Q925N0","Sfxn5"
"2043","O70152","Dpm1"
"2044","E9Q555","Rnf213"
"2045","Q9DAK9","Phpt1"
"2046","P27808","Mgat1"
"2047","Q8K1R3","Pnpt1"
"2048","Q8VHM5",NA
"2049","Q8BG51","Rhot1"
"2050","Q9JKX3","Tfr2"
"2051","Q3U487","Hectd3"
"2052","Q9WVE8","Pacsin2"
"2053","D4AFX7",NA
"2054","Q9CQV1","Pam16"
"2055","Q9WV98","Timm9"
"2056","Q9ERY9","Erg28"
"2057","P20060","Hexb"
"2058","Q9CZX9","Emc4"
"2059","O88543","Cops3"
"2060","P70665","Siae"
"2061","P22892","Ap1g1"
"2062","Q8R180","Ero1a"
"2063","Q9CXW2","Mrps22"
"2064","Q8BM72","Hspa13"
"2065","Q8K0R6","Gltpd2"
"2066","Q9D967","Mdp1"
"2067","O35972","Mrpl23"
"2068","P29416","Hexa"
"2069","Q9D7X8","Ggct"
"2070","P26450","Pik3r1"
"2071","P05132","Prkaca"
"2072","O08585","Clta"
"2073","Q8CFJ7","Slc25a45"
"2074","Q7TSV4","Pgm2"
"2075","Q8K1M6","Dnm1l"
"2076","Q8BY87","Usp47"
"2077","P48722","Hspa4l"
"2078","Q69ZS7","Hbs1l"
"2079","Q60749","Khdrbs1"
"2080","Q8K1N1","Pnpla8"
"2081","Q9CXF4","Tbc1d15"
"2082","O70318","Epb41l2"
"2083","Q8BFW7","Lpp"
"2084","P55258","Rab8a"
"2085","P01898","H2-Q10"
"2086","Q8BML3",NA
"2087","Q3UMY5","Eml4"
"2088","Q9CWZ7","Napg"
"2089","Q1HFZ0","Nsun2"
"2090","Q61545","Ewsr1"
"2091","Q8R574","Prpsap2"
"2092","Q9JIF0","Prmt1"
"2093","Q8VDL4","Adpgk"
"2094","Q8VI75","Ipo4"
"2095","A2A8Z1","Osbpl9"
"2096","Q99L88","Sntb1"
"2097","Q80SU7","Gvin1"
"2098","Q9WTM5","Ruvbl2"
"2099","Q99KK1","Reep3"
"2100","Q61879","Myh10"
"2101","O55222","Ilk"
"2102","Q9CZ04","Cops7a"
"2103","Q9JLQ0","Cd2ap"
"2104","Q3UUQ7","Pgap1"
"2105","Q3TIV5","Zc3h15"
"2106","Q9CY73","Mrpl44"
"2107","Q8K297","Colgalt1"
"2108","Q5SSK3","Tefm"
"2109","Q9CR59","Gadd45gip1"
"2110","P35235","Ptpn11"
"2111","Q9R013","Ctsf"
"2112","Q3TZZ7","Esyt2"
"2113","Q9WTL7","Lypla2"
"2114","Q8BMP6","Acbd3"
"2115","Q9R1C7","Prpf40a"
"2116","Q8BUK6","Hook3"
"2117","O08917","Flot1"
"2118","Q80TM9","Nisch"
"2119","O09164","Sod3"
"2120","Q99LI2","Clcc1"
"2121","P49182","Serpind1"
"2122","Q9D1G2","Pmvk"
"2123","Q922Y1","Ubxn1"
"2124","O35963","Rab33b"
"2125","Q3V3R4","Itga1"
"2126","P11688","Itga5"
"2127","P63280","Ube2i"
"2128","Q8K1R7","Nek9"
"2129","Q9CQR6","Ppp6c"
"2130","Q9Z0U1","Tjp2"
"2131","Q8CI59","Steap3"
"2132","Q9DC71","Mrps15"
"2133","Q9JIX0","Eny2"
"2134","Q9QZQ1","Afdn"
"2135","Q6NVF9","Cpsf6"
"2136","Q8VED9","Lgalsl"
"2137","P11881","Itpr1"
"2138","Q9JHF5",NA
"2139","Q9CR51","Atp6v1g1"
"2140","O35309","Nmi"
"2141","Q91YJ2","Snx4"
"2142","Q3ULJ0","Gpd1l"
"2143","Q3TDN2","Faf2"
"2144","Q8BZ09","Slc25a21"
"2145","Q5XKN4","Jagn1"
"2146","Q91XD7","Creld1"
"2147","Q8C5W3","Tbcel"
"2148","Q8VE95",NA
"2149","Q9WU28","Pfdn5"
"2150","Q8BFQ8","Gatd1"
"2151","Q63829","Commd3"
"2152","P27641","Xrcc5"
"2153","P05063","Aldoc"
"2154","O88551","Cldn1"
"2155","Q64213","Sf1"
"2156","P59017","Bcl2l13"
"2157","Q9CZW4","Acsl3"
"2158","P28651","Ca8"
"2159","Q78ZA7","Nap1l4"
"2160","P63030","Mpc1"
"2161","Q9CY16","Mrps28"
"2162","Q80TH2","Erbin"
"2163","Q3TBW2","Mrpl10"
"2164","P23249","Mov10"
"2165","P29788","Vtn"
"2166","Q9JIA7","Sphk2"
"2167","Q9Z2V5","Hdac6"
"2168","P50462","Csrp3"
"2169","Q9DCE9",NA
"2170","Q5ND29","Rilp"
"2171","Q6XPS7",NA
"2172","B9EJ86","Osbpl8"
"2173","O55137","Acot1"
"2174","P50429","Arsb"
"2175","Q3UYV9","Ncbp1"
"2176","O09044","Snap23"
"2177","Q6PD03","Ppp2r5a"
"2178","Q08943","Ssrp1"
"2179","Q60770","Stxbp3"
"2180","Q61578","Fdxr"
"2181","P16045","Lgals1"
"2182","P56376","Acyp1"
"2183","Q8R0J8","Idnk"
"2184","Q9QYC0","Add1"
"2185","Q9WV80","Snx1"
"2186","P23780","Glb1"
"2187","Q8K4L3","Svil"
"2188","Q8R4H7","Nags"
"2189","Q8R5C5","Actr1b"
"2190","Q8VC26","Tlcd2"
"2191","Q99JX3","Gorasp2"
"2192","Q4LDD4","Arap1"
"2193","P61290","Psme3"
"2194","Q3B7Z2","Osbp"
"2195","P47857","Pfkm"
"2196","Q8VDI7","Ubac1"
"2197","Q6PAV2","Herc4"
"2198","E9Q0S6",NA
"2199","Q9ER00","Stx12"
"2200","E9QAM5","Helz2"
"2201","Q6PGC1","Dhx29"
"2202","Q64462","Cyp4b1"
"2203","B1AY13","Usp24"
"2204","Q8VHK9","Dhx36"
"2205","P70388","Rad50"
"2206","E9Q6D8",NA
"2207","P24452","Capg"
"2208","Q810B6","Ankfy1"
"2209","Q8R2E9","Ero1b"
"2210","Q61702","Itih1"
"2211","Q8BHC4","Dcakd"
"2212","Q6P8X1","Snx6"
"2213","O89051","Itm2b"
"2214","Q3UN02","Lclat1"
"2215","O88544","Cops4"
"2216","O35403","Sult3a1"
"2217","Q63850","Nup62"
"2218","Q8BG73","Sh3bgrl2"
"2219","Q6ZQL4","Wdr43"
"2220","Q8BGD9","Eif4b"
"2221","P08032","Spta1"
"2222","P43025","Clec3b"
"2223","P61620","Sec61a1"
"2224","Q99JF5","Mvd"
"2225","Q9Z1K6","Arih2"
"2226","Q9D938","Tmem160"
"2227","P84104","Srsf3"
"2228","Q99JF8","Psip1"
"2229","Q9QYR9","Acot2"
"2230","Q920Q4","Vps16"
"2231","Q5SSW2","Psme4"
"2232","Q8BGX2","Timm29"
"2233","Q91ZE0","Tmlhe"
"2234","Q99MR6","Srrt"
"2235","Q8R3F5","Mcat"
"2236","Q9CRT8","Xpot"
"2237","P46061","Rangap1"
"2238","Q99K23","Ufsp2"
"2239","Q3V1L4","Nt5c2"
"2240","Q571E4","Galns"
"2241","Q8C0Z1","Fam234a"
"2242","Q06770","Serpina6"
"2243","Q3ULF4","Spg7"
"2244","Q9DBT5","Ampd2"
"2245","P62257","Ube2h"
"2246","P70290","Mpp1"
"2247","Q8CI78","Rmnd1"
"2248","Q8VE22","Mrps23"
"2249","Q91W86","Vps11"
"2250","Q71LX4","Tln2"
"2251","Q3URE1","Acsf3"
"2252","Q9D0Z3","Tmem53"
"2253","Q03958","Pfdn6"
"2254","Q8C2Q3","Rbm14"
"2255","Q8VDG5","Ppcs"
"2256","Q8C0D5","Efl1"
"2257","Q8WTY4","Ciapin1"
"2258","Q99K28","Arfgap2"
"2259","O35350","Capn1"
"2260","Q8VE47","Uba5"
"2261","Q9D0L7","Armc10"
"2262","Q64378","Fkbp5"
"2263","O35864","Cops5"
"2264","Q9D4H8","Cul2"
"2265","P47811","Mapk14"
"2266","E9PZJ8","Ascc3"
"2267","Q3U186","Rars2"
"2268","Q8VBW6","Nae1"
"2269","P55050","Fabp2"
"2270","Q8R3N6","Thoc1"
"2271","Q9Z2N8","Actl6a"
"2272","P26645","Marcks"
"2273","Q9ESX5","Dkc1"
"2274","A0A0J9YUD5",NA
"2275","P15508","Sptb"
"2276","Q8K2C8","Gpat4"
"2277","Q9JMD0","Znf207"
"2278","P49615","Cdk5"
"2279","Q9Z2E1","Mbd2"
"2280","Q8VDW0","Ddx39a"
"2281","O35609","Scamp3"
"2282","P47934","Crat"
"2283","Q921M4","Golga2"
"2284","Q9Z1T1","Ap3b1"
"2285","P09803","Cdh1"
"2286","Q9DCN1","Nudt12"
"2287","Q9QWR8","Naga"
"2288","Q8C878","Uba3"
"2289","Q61553","Fscn1"
"2290","P48774","Gstm5"
"2291","Q9EPL9","Acox3"
"2292","P21958","Tap1"
"2293","Q8CHP5","Pym1"
"2294","Q7TNP2","Ppp2r1b"
"2295","Q5SYD0","Myo1d"
"2296","Q9CRA8","Exosc5"
"2297","Q9QXE7","Tbl1x"
"2298","Q8K3W0","Babam2"
"2299","Q69ZP3","Pnkd"
"2300","Q9D8T2","Gsdmd"
"2301","Q9ERU9","Ranbp2"
"2302","Q99N95","Mrpl3"
"2303","Q8BWY7","Slc39a11"
"2304","Q3UJB0",NA
"2305","Q7TSH2","Phkb"
"2306","Q9JI39","Abcb10"
"2307","Q8BH15","Cnot10"
"2308","Q9CXW3","Cacybp"
"2309","Q9R049","Amfr"
"2310","Q9DB34","Chmp2a"
"2311","Q91V09","Wdr13"
"2312","Q3UMF0","Cobll1"
"2313","P56380","Nudt2"
"2314","Q6PER3","Mapre3"
"2315","Q8BLY2","Tars3"
"2316","Q78JW9","Ubfd1"
"2317","P17439","Gba1"
"2318","O08788","Dctn1"
"2319","Q9D1R1","Tmem126b"
"2320","Q99P31","Hspbp1"
"2321","Q60854","Serpinb6"
"2322","O35075","Vps26c"
"2323","Q8K358","Pigu"
"2324","P17710","Hk1"
"2325","Q9EQ80","Nif3l1"
"2326","Q8BKE6","Cyp20a1"
"2327","Q924T2","Mrps2"
"2328","Q9DBS5","Klc4"
"2329","Q05915","Gch1"
"2330","Q9Z2C4","Mtmr1"
"2331","Q80YR4","Znf598"
"2332","Q9WVQ5","Apip"
"2333","Q8BWW4","Larp4"
"2334","Q9CX34","Sugt1"
"2335","A2ASS6","Ttn"
"2336","Q9CRA7","Dmac2l"
"2337","P56389","Cda"
"2338","Q8BX02","Kank2"
"2339","A0A140LIS8",NA
"2340","O70439","Stx7"
"2341","Q8BZ20","Parp12"
"2342","Q8BH97","Rcn3"
"2343","Q9D0G0","Mrps30"
"2344","Q9CXA2","L3hypdh"
"2345","O54774","Ap3d1"
"2346","Q9DB16","Cab39l"
"2347","Q9D7A8","Armc1"
"2348","Q5SWT3","Slc25a35"
"2349","Q9DC29","Abcb6"
"2350","Q8K1X4","Nckap1l"
"2351","Q7TQG1","Plekha6"
"2352","Q9DCR2","Ap3s1"
"2353","Q3URD3","Slmap"
"2354","Q7TNV0","Dek"
"2355","Q9CZR8","Tsfm"
"2356","P56371","Rab4a"
"2357","P84096","Rhog"
"2358","Q8BGY7","Fam210a"
"2359","Q922D4","Ppp6r3"
"2360","Q9CXR1","Dhrs7"
"2361","P31938","Map2k1"
"2362","Q3UUG6","Tbc1d24"
"2363","Q9QY93","Dctpp1"
"2364","Q6PDQ2","Chd4"
"2365","Q9JIY5","Htra2"
"2366","O08609","Mlx"
"2367","O89112","Lancl1"
"2368","P36371","Tap2"
"2369","Q6P2K6","Ppp4r3a"
"2370","Q99P88","Nup155"
"2371","P97315","Csrp1"
"2372","Q99MI1","Erc1"
"2373","Q8BYU6","Tor1aip2"
"2374","Q9JKW0","Arl6ip1"
"2375","P51125","Cast"
"2376","P46737","Brcc3"
"2377","Q9JK81","Myg1"
"2378","P52332","Jak1"
"2379","Q91XC9","Pex16"
"2380","Q99N93","Mrpl16"
"2381","Q9D2N9","Vps33a"
"2382","Q8K2Q7","Brox"
"2383","Q9JJH1","Rnase4"
"2384","P47856","Gfpt1"
"2385","Q9QZH6","Ecsit"
"2386","Q8BP48","Metap1"
"2387","Q9QZS3","Numb"
"2388","Q6PAR5","Gapvd1"
"2389","Q80YD1","Supv3l1"
"2390","Q61151","Ppp2r5e"
"2391","P46412","Gpx3"
"2392","E9Q6E5",NA
"2393","P23506","Pcmt1"
"2394","P61021","Rab5b"
"2395","P11031","Sub1"
"2396","Q66GT5","Ptpmt1"
"2397","Q9D8N2","Dennd10"
"2398","Q9CQC6","Bzw1"
"2399","Q811U4","Mfn1"
"2400","Q9ERF3","Wdr61"
"2401","Q9D883","U2af1"
"2402","Q9Z2Q5","Mrpl40"
"2403","P24063","Itgal"
"2404","E9PYD1",NA
"2405","Q6PGL7","Washc2"
"2406","Q924C1","Xpo5"
"2407","Q8BUY5","Timmdc1"
"2408","Q5XJY4","Parl"
"2409","Q9D711","Pir"
"2410","Q8CI51","Pdlim5"
"2411","Q80TL7","Mon2"
"2412","O70378","Emc8"
"2413","Q9DBU0","Tm9sf1"
"2414","O08582","Gtpbp1"
"2415","Q922Q9","Chid1"
"2416","Q80ZK0","Mrps10"
"2417","B2RQC6","Cad"
"2418","Q99LD8","Ddah2"
"2419","Q9JK48","Sh3glb1"
"2420","Q8C1A5","Thop1"
"2421","P48410","Abcd1"
"2422","Q9ERA6","Tfip11"
"2423","Q64012","Raly"
"2424","Q61129","Cfi"
"2425","Q9WUA3","Pfkp"
"2426","Q9CQE3","Mrps17"
"2427","Q9DBG7","Srpra"
"2428","Q99MZ3","Mlxipl"
"2429","Q8R4U0","Stab2"
"2430","Q91VS8","Farp2"
"2431","Q9Z1K5","Arih1"
"2432","Q9CZU3","Mtrex"
"2433","Q99KP3","Cryl1"
"2434","Q8C7G5","Apoa5"
"2435","A2AIL4","Ndufaf6"
"2436","Q69ZR2","Hectd1"
"2437","P23198","Cbx3"
"2438","O88487","Dync1i2"
"2439","Q9ES00","Ube4b"
"2440","P35123","Usp4"
"2441","Q8C0K5","Slc25a16"
"2442","Q9CQF0","Mrpl11"
"2443","E9Q634","Myo1e"
"2444","P11835","Itgb2"
"2445","Q99JY8","Plpp3"
"2446","F6U5V1",NA
"2447","Q9D8U2","Tmem41a"
"2448","Q64726","Azgp1"
"2449","Q791T5","Mtch1"
"2450","P56812","Pdcd5"
"2451","Q9JL15","Lgals8"
"2452","Q9D4H1","Exoc2"
"2453","Q9Z0N2","Eif2s3y"
"2454","Q9DBK7",NA
"2455","Q9D1J3","Sarnp"
"2456","Q99KN2","Ciao1"
"2457","P01831","Thy1"
"2458","P31001","Des"
"2459","P06684","C5"
"2460","Q78IQ7","Slc39a4"
"2461","Q8BFZ9","Erlin2"
"2462","Q8K5B2","Mcfd2"
"2463","Q9QYI3","Dnajc7"
"2464","Q6P2B1","Tnpo3"
"2465","P16301","Lcat"
"2466","Q99LD9","Eif2b2"
"2467","Q9Z2G9","Htatip2"
"2468","Q7TNC4","Luc7l2"
"2469","A2A5R2","Arfgef2"
"2470","P50396","Gdi1"
"2471","Q5FWK3","Arhgap1"
"2472","Q9CQ79","Txndc9"
"2473","P51175","Ppox"
"2474","Q6PFD9","Nup98"
"2475","P11531","Dmd"
"2476","Q9CQ73",NA
"2477","Q8BQ47","Cnpy4"
"2478","Q8VE70","Pdcd10"
"2479","Q9Z2D6","Mecp2"
"2480","Q07456","Ambp"
"2481","Q3UMB9","Washc4"
"2482","P63321","Rala"
"2483","Q8K2A8","Alg3"
"2484","O70480","Vamp4"
"2485","Q80U72","Scrib"
"2486","Q9DB60","Prxl2b"
"2487","Q7TQK4","Exosc3"
"2488","Q80Y81","Elac2"
"2489","Q91W34","Rusf1"
"2490","Q80U95","Ube3c"
"2491","Q99L27","Gmpr2"
"2492","E9Q411",NA
"2493","Q9D8B3","Chmp4b"
"2494","O35744","Chil3"
"2495","Q62165","Dag1"
"2496","Q8CFX3",NA
"2497","O08966","Slc22a1"
"2498","P02468","Lamc1"
"2499","O54941","Smarce1"
"2500","Q9DD06","Rarres2"
"2501","Q8C7R4","Uba6"
"2502","Q9JMG1","Edf1"
"2503","Q9QYJ3","Dnajb1"
"2504","Q9JI78","Ngly1"
"2505","Q6PHQ8","Naa35"
"2506","Q99JY4","Trabd"
"2507","Q63932","Map2k2"
"2508","P57784","Snrpa1"
"2509","Q8C4Y3","Nelfb"
"2510","Q8K0G8","Esrp2"
"2511","Q9Z1Q2","Abhd16a"
"2512","Q68FH4","Galk2"
"2513","Q8VH51","Rbm39"
"2514","P06797","Ctsl"
"2515","Q3TIU4","Pde12"
"2516","P08607","C4bpa"
"2517","Q9CPT4","Mydgf"
"2518","P42567","Eps15"
"2519","Q8BRH0","Tmtc3"
"2520","Q6P1F6","Ppp2r2a"
"2521","Q80U63","Mfn2"
"2522","Q8R5H1","Usp15"
"2523","Q9CZE3","Rab32"
"2524","Q9CYG7","Tomm34"
"2525","Q3UFS0","Zyg11b"
"2526","Q8K2K6","Agfg1"
"2527","P08121","Col3a1"
"2528","Q9Z2C5","Mtm1"
"2529","P62748","Hpcal1"
"2530","Q80X98",NA
"2531","Q99N96","Mrpl1"
"2532","P35951","Ldlr"
"2533","O54724","Cavin1"
"2534","O89106","Fhit"
